timestamp,attention_score,pitch,yaw,roll,ear_l,ear_r,gaze_l,gaze_r,blinks,status
2026-03-13T16:26:42.747358,100.0,14.8,-12.8,175.9,0.269,0.468,0.148,-0.082,0,ATTENTIVE
2026-03-13T16:26:42.871654,100.0,17.5,-11.9,175.6,0.245,0.461,0.040,-0.094,0,ATTENTIVE
2026-03-13T16:26:42.932498,100.0,18.6,-11.1,176.0,0.244,0.460,0.012,-0.107,0,ATTENTIVE
2026-03-13T16:26:42.998945,100.0,18.6,-10.1,176.3,0.244,0.460,-0.021,-0.145,0,ATTENTIVE
2026-03-13T16:26:43.062296,100.0,17.6,-7.2,177.6,0.239,0.464,0.011,-0.140,0,ATTENTIVE
2026-03-13T16:26:43.121286,100.0,17.3,-8.3,177.4,0.257,0.465,0.017,-0.124,0,ATTENTIVE
2026-03-13T16:26:43.178423,100.0,16.7,-6.8,177.6,0.273,0.473,0.025,-0.128,0,ATTENTIVE
2026-03-13T16:26:43.224891,100.0,16.6,-5.9,177.7,0.296,0.477,0.043,-0.112,0,ATTENTIVE
2026-03-13T16:26:43.275737,100.0,16.6,-6.4,177.8,0.296,0.479,0.057,-0.110,0,ATTENTIVE
2026-03-13T16:26:43.318327,100.0,16.0,-2.1,178.2,0.290,0.478,0.097,-0.094,0,ATTENTIVE
2026-03-13T16:26:43.364980,100.0,15.8,-3.0,178.1,0.294,0.477,0.068,-0.115,0,ATTENTIVE
2026-03-13T16:26:43.408785,100.0,15.7,-2.4,178.1,0.294,0.476,0.063,-0.121,0,ATTENTIVE
2026-03-13T16:26:43.455349,100.0,15.6,-2.2,178.1,0.297,0.478,0.062,-0.122,0,ATTENTIVE
2026-03-13T16:26:43.502662,100.0,15.7,-2.6,177.8,0.294,0.474,0.081,-0.111,0,ATTENTIVE
2026-03-13T16:26:43.557249,100.0,15.7,-1.9,177.9,0.290,0.471,0.104,-0.087,0,ATTENTIVE
2026-03-13T16:26:43.616310,100.0,15.8,-2.5,177.7,0.267,0.463,0.089,-0.081,0,ATTENTIVE
2026-03-13T16:26:43.663648,100.0,15.9,-3.3,177.7,0.263,0.466,0.089,-0.078,0,ATTENTIVE
2026-03-13T16:26:43.707815,100.0,16.2,-3.6,177.6,0.255,0.468,0.084,-0.080,0,ATTENTIVE
2026-03-13T16:26:43.755683,100.0,16.4,-3.7,177.8,0.241,0.470,0.077,-0.076,0,ATTENTIVE
2026-03-13T16:26:43.800802,100.0,16.2,-3.7,177.8,0.242,0.472,0.078,-0.076,0,ATTENTIVE
2026-03-13T16:26:43.851376,100.0,16.1,-4.0,177.8,0.241,0.473,0.082,-0.072,0,ATTENTIVE
2026-03-13T16:26:43.911162,100.0,16.6,-7.2,177.1,0.239,0.469,0.042,-0.083,0,ATTENTIVE
2026-03-13T16:26:43.960442,100.0,16.5,-7.0,177.2,0.253,0.470,0.042,-0.092,0,ATTENTIVE
2026-03-13T16:26:44.008002,100.0,16.6,-8.0,177.2,0.261,0.472,0.062,-0.075,0,ATTENTIVE
2026-03-13T16:26:44.050405,100.0,16.4,-8.4,177.2,0.267,0.474,0.054,-0.092,0,ATTENTIVE
2026-03-13T16:26:44.094415,100.0,16.6,-8.6,177.1,0.283,0.477,0.077,-0.083,0,ATTENTIVE
2026-03-13T16:26:44.141682,100.0,16.8,-7.9,177.3,0.269,0.477,0.069,-0.101,0,ATTENTIVE
2026-03-13T16:26:44.188208,100.0,16.7,-8.7,177.1,0.264,0.476,0.056,-0.121,0,ATTENTIVE
2026-03-13T16:26:44.239639,100.0,17.2,-8.9,176.9,0.254,0.479,0.041,-0.094,0,ATTENTIVE
2026-03-13T16:26:44.288322,100.0,17.3,-8.9,176.9,0.255,0.479,0.036,-0.082,0,ATTENTIVE
2026-03-13T16:26:44.344209,100.0,17.3,-9.0,177.0,0.261,0.482,0.041,-0.074,0,ATTENTIVE
2026-03-13T16:26:44.395259,100.0,17.3,-8.8,177.1,0.257,0.482,0.043,-0.076,0,ATTENTIVE
2026-03-13T16:26:44.440549,100.0,17.2,-8.5,177.2,0.263,0.482,0.042,-0.077,0,ATTENTIVE
2026-03-13T16:26:44.481133,100.0,17.3,-8.4,177.2,0.266,0.483,0.039,-0.091,0,ATTENTIVE
