timestamp,attention_score,pitch,yaw,roll,ear_l,ear_r,gaze_l,gaze_r,blinks,status
2026-03-13T16:22:06.646426,0.0,33.6,-2.9,-163.5,0.265,0.472,0.147,-0.055,0,DISTRACTED
2026-03-13T16:22:06.788068,0.0,31.9,-6.2,-163.3,0.255,0.465,0.194,-0.028,0,DISTRACTED
2026-03-13T16:22:06.843859,0.0,32.4,-7.4,-163.1,0.250,0.458,0.205,0.002,0,DISTRACTED
2026-03-13T16:22:06.886861,0.0,33.1,-9.2,-161.9,0.251,0.457,0.220,0.002,0,DISTRACTED
2026-03-13T16:22:06.929888,0.0,32.6,-9.9,-161.7,0.250,0.452,0.208,-0.012,0,DISTRACTED
2026-03-13T16:22:06.977687,0.0,32.6,-10.4,-161.8,0.258,0.453,0.187,-0.014,0,DISTRACTED
2026-03-13T16:22:07.029173,0.0,33.0,-10.8,-161.7,0.255,0.452,0.186,0.003,0,DISTRACTED
2026-03-13T16:22:07.080076,0.0,33.1,-10.8,-161.5,0.246,0.447,0.194,0.003,0,DISTRACTED
2026-03-13T16:22:07.123840,0.0,33.5,-11.3,-161.4,0.252,0.449,0.187,-0.008,0,DISTRACTED
2026-03-13T16:22:07.170391,0.0,33.5,-11.5,-161.5,0.250,0.447,0.196,-0.003,0,DISTRACTED
2026-03-13T16:22:07.215530,0.0,34.0,-11.9,-161.7,0.253,0.446,0.200,-0.008,0,DISTRACTED
2026-03-13T16:22:07.258189,0.0,34.0,-11.8,-161.8,0.253,0.451,0.179,-0.031,0,DISTRACTED
2026-03-13T16:22:07.302928,0.0,33.8,-12.2,-162.1,0.262,0.453,0.172,-0.053,0,DISTRACTED
2026-03-13T16:22:07.345813,0.0,34.1,-12.6,-162.3,0.265,0.454,0.158,-0.063,0,DISTRACTED
2026-03-13T16:22:07.387693,0.0,33.6,-13.0,-162.9,0.272,0.456,0.147,-0.074,0,DISTRACTED
2026-03-13T16:22:07.428864,0.0,33.2,-12.7,-162.9,0.274,0.457,0.147,-0.081,0,DISTRACTED
2026-03-13T16:22:07.470162,0.0,32.5,-12.3,-162.9,0.278,0.459,0.149,-0.083,0,DISTRACTED
